0.9164477647909387
class4,p
nonevent,0.04476524235927835
nonevent,0.5494119393805806
nonevent,0.0014208330233285037
Ib,0.9872843154338241
nonevent,0.5556021230867272
Ib,0.9797482637367235
II,0.5546413815672889
II,0.8098920638108944
II,0.7432663116882017
II,0.910428678284001
II,0.9227423335921214
Ib,0.9704862263615478
Ib,0.9734922793771945
II,0.8938025005747003
II,0.9832250483564652
II,0.9727898395289224
II,0.897385106151499
nonevent,0.043282104080099824
nonevent,0.031101047291176687
II,0.9619148309310653
II,0.8748598908937352
II,0.979551296186016
II,0.8716487583846843
II,0.9206804006928634
Ib,0.9254553855488314
II,0.9887630676494216
nonevent,0.40266165469975806
nonevent,0.17142435502601336
Ib,0.7425514205691494
nonevent,0.0978301647037416
Ib,0.9542245818446514
Ib,0.9120394056355653
nonevent,0.016888769911257477
II,0.952192808852547
nonevent,0.0022801894219037296
nonevent,0.2861759896712895
nonevent,0.19858679656173064
Ib,0.7244869539778342
nonevent,0.16832964132773143
nonevent,0.3426795129081388
nonevent,0.20267164547027153
II,0.564617379275388
nonevent,0.34118451202845584
nonevent,0.039842444795090824
nonevent,0.36802751351940305
nonevent,0.6214072315900468
nonevent,0.4255209751590859
Ib,0.9706906002450172
Ib,0.9714992358969515
II,0.9603248748854815
nonevent,0.021035056775862652
nonevent,0.011707656300939251
nonevent,0.03078584976570059
nonevent,0.07880627370481329
nonevent,0.41725296117122185
nonevent,0.10543872533088501
II,0.8382901442711878
nonevent,0.2098307167847158
nonevent,0.10891251875455175
nonevent,0.6656503084462059
II,0.8208521937429216
nonevent,0.225223556522659
II,0.8340660027679921
nonevent,0.02894782639864242
nonevent,0.055552996878705886
Ib,0.7821822494374272
Ib,0.8234696265998113
Ib,0.8008179932026737
II,0.7712556811749343
nonevent,0.007913585146810152
Ib,0.9286187759486498
nonevent,0.1653456708028729
nonevent,0.524456318418561
nonevent,0.3049543550379013
nonevent,0.03156620215911015
nonevent,0.17332469898369252
nonevent,0.08332821532917016
nonevent,0.3583657622271997
nonevent,0.02309124911298267
Ib,0.9553260322838533
Ib,0.8935780618230623
nonevent,0.30827098287903
nonevent,0.29084013367068473
II,0.9697209975641173
II,0.9479327723078964
Ib,0.9607797667399663
II,0.9832126954074814
Ib,0.888631618034009
II,0.9320901027713734
nonevent,0.0038166474087748133
II,0.7182152340441288
nonevent,0.17722256948761314
II,0.9400141381514922
nonevent,0.3334902835315168
nonevent,0.004028230141782926
II,0.9844489467182115
nonevent,0.048071410805282315
nonevent,0.4237594935549976
nonevent,0.07755375337876125
Ib,0.8042336886435534
nonevent,0.04388213976991887
nonevent,0.010357647800261896
nonevent,0.013308165710491593
II,0.9433096476508668
nonevent,0.37666688714956614
Ib,0.9851930534244109
II,0.9681018894491275
II,0.9551324622094467
nonevent,0.09845027066332628
II,0.9154377343208419
Ib,0.9740873463206361
II,0.886295228983287
II,0.87652264654999
Ib,0.939399169690974
Ib,0.9755772022125527
nonevent,0.014053908068691121
nonevent,0.05480749766893835
II,0.9713134593757825
II,0.6913338476558916
nonevent,0.19882276712369285
II,0.9556842365998465
Ib,0.9568888378655499
Ib,0.9187115183571777
nonevent,0.697064068546854
nonevent,0.018531953864651122
nonevent,0.25194710022002353
nonevent,0.03843308583946068
II,0.7169211222352683
nonevent,0.04168326254896648
Ib,0.913943701129932
nonevent,0.133769196500781
II,0.9695403820802047
nonevent,0.06524318279404553
nonevent,0.06258867825821585
nonevent,0.3657711290102039
II,0.5787409142122973
nonevent,0.012467040924769267
Ib,0.9224547701962705
II,0.9734985953767787
Ib,0.9540247909531251
Ib,0.953016552144054
nonevent,0.09493967895999585
nonevent,0.0805106976871471
II,0.8510558332011348
Ib,0.9233595854227321
nonevent,0.08058380447513007
nonevent,0.4010397851141096
Ib,0.9873453986180714
nonevent,0.46997692548534936
Ib,0.9683241921573078
nonevent,0.04911025573252794
nonevent,0.022541490538179554
nonevent,0.10583484698021044
Ib,0.9874645089194791
nonevent,0.04640413144908715
nonevent,0.1190331107743079
Ib,0.8776812291846383
II,0.9087824584464504
nonevent,0.4240474359264248
nonevent,0.0777070626753393
nonevent,0.3487674473133196
nonevent,0.22246564217128548
nonevent,0.6250948404082198
Ib,0.9936525559404662
nonevent,0.2849882368505144
nonevent,0.47060791876298474
Ib,0.9075676841070693
Ib,0.9739640509898502
Ib,0.9461698319336899
II,0.8749430662027183
Ib,0.7688019598585508
nonevent,0.008323672872335304
nonevent,0.029934443415144323
II,0.8735347252774764
nonevent,0.3856797684210554
II,0.9639516621718572
nonevent,0.043113718441551784
Ib,0.9450525892370784
II,0.9223423273140039
nonevent,0.5547756811669978
nonevent,0.08952367626399056
Ib,0.7745139226720051
nonevent,0.19251709234098238
nonevent,0.0913423857211443
nonevent,0.08178465155638383
nonevent,0.0701870271733259
II,0.9807354927906484
nonevent,0.39443828132785735
II,0.5291424519489122
nonevent,0.02315702023454728
nonevent,0.4366601076304519
II,0.7648130995360637
nonevent,0.2393473024071768
nonevent,0.03729525653648392
Ib,0.9843740570627051
Ib,0.8997561091103016
II,0.7407110908037428
nonevent,0.09902363112111844
II,0.8313281347507303
nonevent,0.07431304764822518
Ib,0.9776429730175055
II,0.9461193372682589
Ib,0.9188231451141653
nonevent,0.39209443493523066
Ib,0.9895237982409095
Ib,0.9956417259031963
nonevent,0.06945328222562831
nonevent,0.03375886568107175
nonevent,0.10557252613031391
II,0.5790930400349681
II,0.9207891923228478
nonevent,0.01906826968935588
nonevent,0.017540919090700432
nonevent,0.04231485431632814
Ib,0.9672782767295969
nonevent,0.0008506766913012774
Ib,0.9659967987782259
Ib,0.924825519441676
Ib,0.9935071738812234
nonevent,0.0453990314696911
nonevent,0.3333836359590261
II,0.7523157688352321
nonevent,0.016317313260651122
nonevent,0.19084310742661878
nonevent,0.12903502083509238
Ib,0.9128796751695362
